# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
ya ba 	啞巴	c=1 d=1.8434e-254 t=255488
ya ce 	壓測	c=1 d=1 t=255462
ya chi 	牙齒	c=1 d=1.46634e-297 t=255488
ya dan 	鴨蛋	c=4 d=1.213e-07 t=255488
ya di 	雅迪	c=9 d=1.73172e-19 t=255488
ya fang 	押房	c=2 d=7.31384e-07 t=255488
ya gao 	牙膏	c=6 d=1.78397e-08 t=255488
ya hei 	雅黑	c=9 d=5.4586e-08 t=255488
ya hu 	雅虎	c=2 d=0.00012909 t=255488
ya jia 	壓價	c=1 d=0 t=255488
ya jia 	鴨架	c=1 d=0 t=255488
ya jin 	押金	c=12 d=0.560122 t=255488
ya ju le 	雅居樂	c=1 d=4.92146e-13 t=255488
ya li 	壓力	c=9 d=0.00021605 t=255488
ya ma 	亞麻	c=2 d=0.225519 t=255488
ya pei 	雅培	c=2 d=0.0152985 t=255488
ya shua 	牙刷	c=6 d=0.00206796 t=255488
ya suo 	壓縮	c=54 d=0.0353718 t=255488
ya suo bao 	壓縮包	c=2 d=5.8779e-161 t=255488
ya teng 	牙疼	c=1 d=4.94454e-303 t=255488
ya tou 	丫頭	c=1 d=0 t=255488
ya ya 	壓壓	c=0 d=2.29747e-81 t=255488
ya ya jing 	壓壓驚	c=1 d=2.30898e-80 t=255488
ya yun hui 	亞運會	c=1 d=0 t=255488
ya zha 	壓榨	c=1 d=3.36749e-284 t=255488
ya zhe 	押着	c=1 d=1.28666e-171 t=255488
yan 	嚴	c=4 d=2.70841e-16 t=255488
yan 	宴	c=1 d=1.55779e-09 t=255488
yan 	淹	c=1 d=1.6687e-24 t=255488
yan 	演	c=2 d=0.00371118 t=255488
yan 	炎	c=4 d=3.99415e-14 t=255488
yan 	燕	c=5 d=1.18833e-30 t=255488
yan 	眼	c=9 d=7.24148e-11 t=255488
yan 	言	c=1 d=2.08699e-126 t=255488
yan 	驗	c=10 d=1.62566e-49 t=255488
yan 	鹽	c=7 d=0.249075 t=255488
yan ban 	岩板	c=2 d=5.51895e-22 t=255488
yan chang 	延長	c=1 d=1.32579e-53 t=255488
yan cheng 	嚴懲	c=1 d=0 t=255488
yan chi 	延遲	c=3 d=0.00319873 t=255488
yan chu 	演出	c=1 d=1.64699e-17 t=255488
yan dan 	延丹	c=1 d=2.06045e-05 t=255488
yan fa 	研發	c=1 d=2.12252e-295 t=255488
yan fa bu 	研發部	c=1 d=6.20702e-08 t=255488
yan fang 	驗房	c=3 d=2.33e-267 t=255488
yan fang shi 	驗房師	c=1 d=0 t=255488
yan ge 	嚴格	c=9 d=9.46969e-07 t=255488
yan ge 	閹割	c=2 d=1.15742e-14 t=255488
yan guan 	煙管	c=1 d=1.60605e-15 t=255488
yan hou 	咽喉	c=4 d=2.91885e-14 t=255488
yan hou qing 	咽喉清	c=1 d=0 t=255488
yan jian 	眼見	c=1 d=1.14912e-282 t=255488
yan jiao 	燕郊	c=2 d=2.00815e-21 t=255488
yan jin 	嚴禁	c=1 d=0 t=255488
yan jing 	眼睛	c=11 d=0.00597602 t=255488
yan jing 	眼鏡	c=2 d=1.2949e-11 t=255488
yan jing hao 	眼睛好	c=1 d=4.81714e-55 t=255488
yan jing kuang 	眼鏡框	c=1 d=9.99287e-22 t=255488
yan jiu 	研究	c=19 d=0.119433 t=255488
yan jiu yan jiu 	研究研究	c=2 d=3.68067e-07 t=255488
yan jiu yuan 	研究院	c=1 d=1.82305e-06 t=255488
yan jun 	嚴峻	c=1 d=1.36982e-290 t=255488
yan ke 	眼科	c=1 d=4.68144e-13 t=255488
yan le dian 	嚴了點	c=1 d=4.87005e-154 t=255488
yan li 	嚴厲	c=1 d=2.64013e-186 t=255488
yan li 	眼裏	c=1 d=0 t=255488
yan lian 	演練	c=2 d=1.36604 t=255419
yan ma 	掩碼	c=3 d=7.19962e-253 t=255488
yan mai 	掩埋	c=1 d=0 t=255488
yan mai 	燕麥	c=2 d=2.60895e-17 t=255488
yan mei 	燕梅	c=19 d=4.40855e-320 t=255488
yan mo 	淹沒	c=1 d=0.00244185 t=255488
yan pi lao 	眼疲勞	c=2 d=6.68281e-259 t=255488
yan pin 	贗品	c=1 d=8.17842e-47 t=255488
yan qi 	延期	c=23 d=6.05789e-16 t=255488
yan se 	顏色	c=83 d=0.136321 t=255488
yan shen 	延伸	c=1 d=4.94066e-324 t=255488
yan sheng 	衍生	c=1 d=0 t=255488
yan shi 	厭食	c=1 d=0 t=255488
yan shi 	延時	c=3 d=1.94046e-05 t=255488
yan shi 	演示	c=14 d=0.035281 t=255488
yan shi huan jing 	演示環境	c=2 d=0.0426684 t=255488
yan shou 	驗收	c=27 d=3.79886e-114 t=255488
yan shui 	鹽水	c=2 d=2.27485e-140 t=255488
yan tong 	咽痛	c=1 d=0 t=255488
yan xian 	沿線	c=1 d=4.99694e-280 t=255488
yan xin 	炎鑫	c=7 d=0.0338666 t=255488
yan xue 	驗血	c=1 d=0 t=255488
yan yan 	咽炎	c=1 d=0 t=255488
yan yan 	岩鹽	c=1 d=9.64113e-306 t=255488
yan yao 	眼藥	c=3 d=1.37743e-258 t=255488
yan yi 	演義	c=1 d=3.23948e-93 t=255488
yan yong 	沿用	c=2 d=1.25043e-276 t=255488
yan zai 	眼在	c=1 d=1.57791e-248 t=255488
yan zeng 	眼增	c=1 d=0 t=255488
yan zhan 	延展	c=1 d=0 t=255488
yan zhan de 	延展的	c=1 d=0 t=255488
yan zhen 	雁陣	c=2 d=0.000206543 t=255488
yan zhen 	驗真	c=9 d=7.03205e-35 t=255488
yan zheng 	炎症	c=5 d=9.21876e-279 t=255488
yan zheng 	驗證	c=215 d=0.429583 t=255488
yan zheng hou 	驗證後	c=1 d=0 t=255488
yan zheng ma 	驗證碼	c=91 d=0.0838355 t=255488
yan zheng qi 	驗證器	c=1 d=8.22808e-30 t=255488
yan zhi 	醃製	c=4 d=0.294131 t=255488
yan zhong 	嚴重	c=15 d=0.000833397 t=255488
yang 	揚	c=1 d=3.82933e-61 t=255488
yang 	楊	c=6 d=2.85832e-13 t=255488
yang 	樣	c=26 d=3.21641e-09 t=255488
yang 	洋	c=2 d=3.29604e-32 t=255488
yang 	癢	c=1 d=1.05195e-37 t=255488
yang 	陽	c=4 d=6.76229e-16 t=255488
yang 	養	c=1 d=1.37143e-10 t=255488
yang ban 	樣板	c=3 d=2.45684e-183 t=255488
yang bu 	癢不	c=1 d=0 t=255488
yang bu liao 	養不了	c=1 d=0 t=255488
yang cheng 	養成	c=1 d=4.78601e-302 t=255488
yang cong 	洋蔥	c=5 d=0 t=255488
yang de 	養的	c=1 d=8.75325e-52 t=255488
yang fang 	洋房	c=3 d=0 t=255488
yang fen 	養分	c=1 d=0 t=255488
yang fu guo 	楊富國	c=1 d=1.85048e-64 t=255488
yang guang 	陽光	c=6 d=0.694197 t=255488
yang guang cheng 	陽光城	c=1 d=0 t=255488
yang gui zi 	洋鬼子	c=2 d=1.15243e-22 t=255488
yang jia 	養家	c=2 d=0.442174 t=255488
yang jie 	楊姐	c=2 d=0 t=255488
yang jie chi 	楊潔篪	c=1 d=1.451e-144 t=255488
yang lei 	楊磊	c=9 d=9.80699e-07 t=255488
yang li 	樣例	c=4 d=1.6196e-55 t=255488
yang li nian 	陽曆年	c=1 d=5.10719e-37 t=255488
yang luo 	陽邏	c=4 d=2.29124e-18 t=255488
yang mao 	羊毛	c=3 d=2.69215e-05 t=255488
yang ming 	楊明	c=0 d=3.61578e-34 t=255488
yang ming yu 	楊明宇	c=1 d=3.63391e-33 t=255488
yang pin 	樣品	c=1 d=3.39046e-217 t=255488
yang qi 	央企	c=1 d=0 t=255488
yang rou 	羊肉	c=2 d=5.21582e-12 t=255488
yang rou chuan 	羊肉串	c=3 d=8.91829e-154 t=255488
yang sang zi 	洋嗓子	c=1 d=2.14499e-125 t=255488
yang sheng zhi dao 	養生之道	c=1 d=3.67168e-37 t=255488
yang shi 	央視	c=1 d=0 t=255488
yang shi 	樣式	c=151 d=0.448338 t=255488
yang su 	楊素	c=0 d=1.08606e-31 t=255488
yang su hong 	楊素紅	c=1 d=1.0915e-30 t=255488
yang tai 	陽臺	c=36 d=6.33094e-33 t=255488
yang tai gui 	陽臺櫃	c=5 d=2.90908e-204 t=255488
yang wa 	洋娃	c=3 d=2.07791e-16 t=255488
yang wu 	洋務	c=1 d=3.55324e-63 t=255488
yang xiao 	楊曉	c=0 d=1.32836e-18 t=255488
yang xiao guang 	楊曉光	c=1 d=1.33502e-17 t=255488
yang xiao jun 	楊曉君	c=1 d=1.60153e-70 t=255488
yang yang 	養養	c=1 d=0 t=255488
yang yuan 	養元	c=1 d=5.19518e-179 t=255488
yang zhou 	揚州	c=1 d=1.00423e-79 t=255488
yang zhu 	養豬	c=2 d=0 t=255488
yang zi 	樣子	c=59 d=4.76206e-08 t=255488
yang zuo 	樣做	c=1 d=5.26456e-188 t=255488
yao 	咬	c=4 d=2.53667e-10 t=255488
yao 	妖	c=2 d=3.76667e-14 t=255488
yao 	姚	c=3 d=3.05268e-12 t=255488
yao 	窯	c=0 d=5.78425e-32 t=255488
yao 	藥	c=44 d=0.316637 t=255488
yao 	要	c=723 d=1.32499 t=255488
yao an 	要按	c=1 d=6.26545e-265 t=255488
yao an zhao 	要按照	c=1 d=0 t=255488
yao ba 	要把	c=2 d=3.7603e-141 t=255488
yao bao 	要包	c=1 d=1.72666e-14 t=255488
yao bei 	要被	c=1 d=9.09816e-183 t=255488
yao bi 	要比	c=1 d=6.92079e-112 t=255488
yao biao 	要表	c=1 d=3.94138e-18 t=255488
yao bu 	要不	c=93 d=0.057645 t=255488
yao bu le 	要不了	c=1 d=0 t=255488
yao bu ni wen wen 	要不你問問	c=1 d=6.87048e-320 t=255488
yao bu ran 	要不然	c=3 d=2.96439e-323 t=255488
yao bu ran gan jue 	要不然感覺	c=1 d=0 t=255488
yao bu ran wo 	要不然我	c=1 d=6.91692e-323 t=255488
yao bu yao 	要不要	c=11 d=3.8514e-11 t=255488
yao can jia 	要參加	c=2 d=1.4245e-133 t=255488
yao che 	要車	c=1 d=0.162026 t=255488
yao chi 	鑰匙	c=2 d=1.29755e-221 t=255488
yao chu li 	要處理	c=1 d=4.38345e-239 t=255488
yao dai 	要帶	c=1 d=4.402e-318 t=255488
yao dao 	要到	c=2 d=2.68329e-24 t=255488
yao de 	要的	c=3 d=2.08074e-32 t=255488
yao dian 	藥店	c=3 d=3.20302e-195 t=255488
yao dian 	要點	c=2 d=6.53971e-34 t=255488
yao ge 	要個	c=10 d=0.00116504 t=255488
yao gei 	要給	c=1 d=0 t=255488
yao hai shi 	要還是	c=1 d=4.14931e-299 t=255488
yao hao 	搖號	c=6 d=0.0415897 t=255488
yao he 	要和	c=5 d=7.01651e-09 t=255488
yao huan 	要換	c=1 d=1.05648e-205 t=255488
yao jia 	要加	c=1 d=1.59506e-140 t=255488
yao kan 	要看	c=1 d=0.00394621 t=255488
yao kong qi 	遙控器	c=3 d=4.74542e-55 t=255488
yao lai 	要來	c=2 d=5.30296e-09 t=255488
yao le 	要了	c=1 d=9.21712e-130 t=255488
yao ma 	要嗎	c=1 d=1.08694e-322 t=255488
yao me 	要麼	c=21 d=0.116484 t=255488
yao ming 	要命	c=1 d=4.83866e-78 t=255488
yao na ge 	要哪個	c=1 d=9.7091e-36 t=255488
yao ni 	要你	c=1 d=7.52783e-14 t=255488
yao qian 	要錢	c=3 d=0.000207579 t=255488
yao qing 	要請	c=1 d=0 t=255488
yao qing 	邀請	c=10 d=0.000130089 t=255488
yao qing ma 	邀請碼	c=2 d=6.28884e-15 t=255488
yao qiu 	要求	c=52 d=0.313715 t=255488
yao qiu gao 	要求高	c=1 d=0 t=255488
yao qu 	要去	c=3 d=0.000773179 t=255488
yao rang 	要讓	c=1 d=2.53162e-251 t=255488
yao shi 	要是	c=211 d=0.722527 t=255488
yao shi 	鑰匙	c=19 d=6.12156e-60 t=255488
yao shui 	藥水	c=1 d=0 t=255488
yao shuo 	要說	c=1 d=1.96537e-08 t=255488
yao su 	要素	c=6 d=5.19992e-15 t=255488
yao ti 	要提	c=1 d=0 t=255488
yao tou su 	要投訴	c=1 d=8.52579e-07 t=255488
yao wen 	要問	c=1 d=1.02236e-113 t=255488
yao wo 	要我	c=1 d=1.68997e-261 t=255488
yao xia yu 	要下雨	c=1 d=1.0753e-295 t=255488
yao xiang 	要想	c=4 d=2.57054e-19 t=255488
yao yong 	要用	c=6 d=0.529941 t=255488
yao you 	要有	c=5 d=0.0096577 t=255488
yao zai 	要在	c=1 d=1 t=251464
yao zen me 	要怎麼	c=1 d=1.60897e-242 t=255488
yao zhang 	要賬	c=1 d=5.87385e-06 t=255488
yao zhu 	咬住	c=1 d=1.19629e-79 t=255488
yao zhui jian pan 	腰椎間盤	c=1 d=6.68091e-50 t=255488
yao zong 	姚總	c=1 d=1.29112e-06 t=255488
yao zou 	要走	c=3 d=4.2111e-32 t=255488
yao zuo 	要做	c=7 d=4.60532e-26 t=255488
ye 	也	c=1145 d=1.34434 t=255488
ye 	夜	c=3 d=1.82349e-97 t=255488
ye 	業	c=1 d=0 t=255488
ye 	液	c=1 d=0.00116504 t=255488
ye 	葉	c=2 d=1.63115e-21 t=255488
ye 	頁	c=20 d=4.01404e-28 t=255488
ye ba 	也把	c=1 d=0 t=255488
ye bao 	液胞	c=1 d=8.67473e-93 t=255488
ye bei 	也被	c=1 d=1.36482e-12 t=255488
ye biao 	頁表	c=2 d=0.000515052 t=255488
ye bie 	也別	c=0 d=0 t=255488
ye bie dian 	也別點	c=1 d=0 t=255488
ye bu 	也不	c=13 d=4.3454e-19 t=255488
ye bu fang guo 	也不放過	c=1 d=3.95253e-321 t=255488
ye bu gou 	也不夠	c=0 d=0 t=255488
ye bu gou qing le 	也不夠請了	c=1 d=0 t=255488
ye bu hui 	也不會	c=1 d=0 t=255488
ye bu quan 	也不全	c=1 d=0 t=255488
ye bu shao 	也不少	c=1 d=0 t=255488
ye bu shi 	也不是	c=2 d=1.24439e-131 t=255488
ye bu wen yao 	也不問要	c=1 d=3.05629e-320 t=255488
ye bu yao 	也不要	c=1 d=0 t=255488
ye bu zhi dao 	也不知道	c=2 d=3.05036e-320 t=255488
ye chi 	也吃	c=1 d=1.80952e-36 t=255488
ye da suan 	也打算	c=1 d=1.4822e-323 t=255488
ye dao 	也到	c=1 d=0 t=255488
ye de 	也得	c=23 d=0.00012341 t=255488
ye dou 	也都	c=2 d=1.56464e-90 t=255488
ye dou shi 	也都是	c=1 d=0 t=255488
ye dou you bian hua 	也都右邊化	c=1 d=0 t=255488
ye duo 	也多	c=2 d=1.98292e-230 t=255488
ye fen 	也分	c=2 d=5.96973e-20 t=255488
ye gai 	也該	c=1 d=6.78771e-207 t=255488
ye gei 	也給	c=2 d=2.48815e-165 t=255488
ye gei ni 	也給你	c=1 d=0 t=255488
ye gen zhe 	也跟着	c=1 d=1.04742e-321 t=255488
ye gou kuai 	也夠快	c=1 d=0 t=255488
ye gui 	也貴	c=1 d=1.0799e-22 t=255488
ye hai 	也還	c=1 d=0 t=255488
ye hai hao 	也還好	c=1 d=9.74923e-202 t=255488
ye hao 	也好	c=2 d=2.96693e-206 t=255488
ye hao zheng 	也好正	c=1 d=1.87745e-322 t=255488
ye hen 	也很	c=1 d=0.0137049 t=255488
ye hui 	也會	c=11 d=0.433874 t=255488
ye ji 	野雞	c=1 d=8.53858e-54 t=255488
ye jiang 	也將	c=1 d=0.479505 t=255488
ye jiao 	也叫	c=4 d=1.14304e-249 t=255488
ye jiao 	頁腳	c=2 d=9.7698e-168 t=255488
ye jiu 	也就	c=20 d=0.104874 t=255488
ye jiu shi 	也就是	c=27 d=0.00587398 t=255488
ye jiu shi shuo 	也就是說	c=1 d=8.16128e-228 t=255488
ye jiu shuo 	也就說	c=1 d=8.22002e-136 t=255488
ye ju hua 	野菊花	c=1 d=1.43555e-312 t=255488
ye ke yi 	也可以	c=5 d=8.43952e-05 t=255488
ye kuai 	也快	c=1 d=0 t=255488
ye lv 	耶律	c=2 d=9.38892e-112 t=255488
ye ma 	頁碼	c=1 d=7.40375e-229 t=255488
ye mang 	也忙	c=1 d=1.80706e-20 t=255488
ye mei 	也沒	c=6 d=3.55509e-67 t=255488
ye mei 	頁眉	c=1 d=9.67259e-168 t=255488
ye mei ban fa 	也沒辦法	c=1 d=6.04736e-321 t=255488
ye mei ren 	也沒人	c=1 d=0 t=255488
ye mei sha 	也沒啥	c=4 d=8.23115e-05 t=255488
ye mei shuo 	也沒說	c=1 d=0 t=255488
ye mei wen ti 	也沒問題	c=1 d=0 t=255488
ye mei you 	也沒有	c=2 d=2.06868e-140 t=255488
ye men 	爺們	c=1 d=2.74761e-273 t=255488
ye mian 	頁面	c=322 d=1.0011 t=255488
ye mian she ji 	頁面設計	c=5 d=1.99108e-321 t=255488
ye mian tai da 	頁面太大	c=1 d=0 t=255488
ye mian wen ti 	頁面問題	c=1 d=0 t=255488
ye mian xiu gai 	頁面修改	c=1 d=0 t=255488
ye mian yang shi 	頁面樣式	c=1 d=0 t=255488
ye neng 	也能	c=21 d=0.00486835 t=255488
ye qiang 	也搶	c=1 d=1.26814e-30 t=255488
ye qu 	也去	c=1 d=1.95118e-11 t=255488
ye rang 	也讓	c=2 d=3.85106e-245 t=255488
ye ren 	野人	c=1 d=2.14865e-145 t=255488
ye rong 	椰蓉	c=1 d=0 t=255488
ye rong 	野容	c=2 d=0 t=255488
ye shao 	也少	c=1 d=0 t=255488
ye sheng 	野生	c=1 d=4.14981e-36 t=255488
ye shi 	也是	c=175 d=0.748189 t=255488
ye shu 	頁數	c=0 d=4.02459e-147 t=255488
ye shuo 	也說	c=3 d=1.57281e-63 t=255488
ye suan 	也算	c=2 d=2.94819e-14 t=255488
ye ting 	也挺	c=2 d=5.11501e-55 t=255488
ye ting gui 	也挺貴	c=1 d=2.3731e-255 t=255488
ye ting gui fan 	也挺規範	c=1 d=0 t=255488
ye ting yan zhong 	也挺嚴重	c=1 d=0 t=255488
ye wu 	業務	c=133 d=1.83165 t=255488
ye wu bian hao 	業務編號	c=1 d=2.48487e-267 t=255488
ye wu chang jing 	業務場景	c=1 d=0 t=255488
ye wu yuan 	業務員	c=5 d=1.79616e-37 t=255488
ye xian shi 	也顯示	c=1 d=0 t=255488
ye xin 	也信	c=1 d=4.57612e-10 t=255488
ye xing 	也行	c=95 d=0.393245 t=255488
ye xue 	也學	c=0 d=0 t=255488
ye xue yao 	也學要	c=1 d=0 t=255488
ye yao 	也要	c=20 d=2.16813e-06 t=255488
ye yao chi 	也要吃	c=1 d=0 t=255488
ye yao zuo 	也要做	c=1 d=3.47038e-197 t=255488
ye you 	也有	c=86 d=0.145876 t=255488
ye you dian 	也有點	c=1 d=4.64231e-120 t=255488
ye zai 	也在	c=3 d=3.32025e-118 t=255488
ye zao dian 	也早點	c=1 d=0 t=255488
ye zhang 	也漲	c=1 d=2.16006e-31 t=255488
ye zhi neng 	也只能	c=1 d=5.92879e-321 t=255488
ye zhu 	業主	c=36 d=4.03347e-25 t=255488
ye zhu quan 	也主權	c=1 d=0 t=255488
ye zi 	葉子	c=8 d=9.79517e-316 t=255488
yi 	一	c=77 d=0.250968 t=255488
yi 	乙	c=1 d=0 t=255488
yi 	以	c=45 d=0.000745252 t=255488
yi 	儀	c=1 d=0 t=255488
yi 	億	c=16 d=9.26807e-39 t=255488
yi 	壹	c=5 d=6.62388e-08 t=255488
yi 	夷	c=1 d=1.18408e-311 t=255488
yi 	宜	c=5 d=0.755784 t=255488
yi 	已	c=222 d=0.810649 t=255488
yi 	怡	c=1 d=2.40452e-57 t=255488
yi 	易	c=7 d=7.55117e-20 t=255488
yi 	椅	c=0 d=0 t=255488
yi 	異	c=1 d=0 t=255488
yi 	疑	c=1 d=2.95211e-59 t=255488
yi 	藝	c=6 d=0 t=255488
yi 	衣	c=3 d=0.000493001 t=255488
yi 	醫	c=4 d=1.04963e-11 t=255488
yi bai 	一百	c=2 d=1.24884e-26 t=255488
yi bai wan 	一百萬	c=1 d=0 t=255488
yi ban 	一半	c=9 d=0.000122794 t=255488
yi ban 	一版	c=1 d=1.943e-226 t=255488
yi ban 	一般	c=157 d=0.241714 t=255488
yi ban ben 	已版本	c=1 d=2.47033e-323 t=255488
yi ban hu 	一般戶	c=1 d=2.23931e-190 t=255488
yi ban shi 	一般是	c=3 d=0.000158461 t=255488
yi ban tian 	一半天	c=1 d=2.15041e-184 t=255488
yi ban zan zhu 	一般贊助	c=1 d=0 t=255488
yi bang ding 	已綁定	c=2 d=4.63535e-73 t=255488
yi bao 	易寶	c=415 d=0.388707 t=255488
yi bao jin rong 	易寶金融	c=1 d=3.54539e-37 t=255488
yi bao zhi fu 	易寶支付	c=2 d=0.740818 t=255488
yi bei 	已被	c=4 d=3.81697e-23 t=255488
yi bei zi 	一輩子	c=1 d=0 t=255488
yi ben 	一本	c=3 d=3.1881e-52 t=255488
yi bi 	一筆	c=14 d=3.36664e-46 t=255488
yi bian 	一遍	c=2 d=5.88987e-38 t=255488
yi bian 	一邊	c=13 d=3.05335e-43 t=255488
yi bian 	以便	c=1 d=2.83114e-08 t=255488
yi bian gei 	一邊給	c=1 d=0 t=255488
yi biao pan 	儀表盤	c=1 d=4.64216e-149 t=255488
yi bo 	一波	c=2 d=0.388274 t=255488
yi bo ren 	一波人	c=1 d=0.349938 t=255488
yi bu 	一步	c=1 d=6.18052e-134 t=255488
yi bu 	異步	c=16 d=0.000490606 t=255488
yi bu 	移步	c=0 d=0 t=255488
yi bu dao 	移步到	c=1 d=0 t=255488
yi bu fen 	一部分	c=2 d=5.25075e-69 t=255488
yi ceng 	一層	c=4 d=0.0115047 t=255488
yi chan 	遺產	c=1 d=2.23967e-45 t=255488
yi chang 	一場	c=1 d=3.29183e-252 t=255488
yi chang 	異常	c=183 d=0.0533213 t=255488
yi chou 	一抽	c=2 d=2.07023e-53 t=255488
yi chu 	移除	c=57 d=0.0138172 t=255488
yi chu qu 	一出去	c=1 d=9.06078e-164 t=255488
yi chun 	伊春	c=1 d=0 t=255488
yi ci 	一次	c=89 d=0.0515305 t=255488
yi ci 	以此	c=2 d=1.0362e-256 t=255488
yi ci 	依次	c=1 d=2.84573e-39 t=255488
yi ci de 	一次的	c=1 d=1.02493e-25 t=255488
yi ci xing 	一次性	c=5 d=0.0256059 t=255488
yi cun zai 	已存在	c=2 d=2.30906e-51 t=255488
yi da 	一大	c=0 d=7.61797e-07 t=255488
yi da bo 	一大波	c=1 d=5.61025e-54 t=255488
yi da dui 	一大堆	c=6 d=7.65616e-06 t=255488
yi da li 	意大利	c=2 d=2.12913e-30 t=255488
yi da li mian 	意大利麪	c=2 d=1.08064e-30 t=255488
yi da tiao 	一大跳	c=1 d=1.13707e-305 t=255488
yi dai 	一袋	c=6 d=8.51162e-16 t=255488
yi dan 	一旦	c=13 d=1.35929e-30 t=255488
yi dao 	一道	c=1 d=2.06532e-209 t=255488
yi dao 	移到	c=1 d=1.10376e-220 t=255488
yi di 	異地	c=4 d=9.03731e-16 t=255488
yi dian 	一點	c=11 d=0.0893673 t=255488
yi dian dian 	一點點	c=3 d=1.18479e-83 t=255488
yi dian ma 	一點嗎	c=1 d=1.29445e-321 t=255488
yi dian qian 	一點錢	c=1 d=1.14275e-11 t=255488
yi dian yong 	一點用	c=1 d=0 t=255488
yi ding 	一定	c=20 d=1.81896e-09 t=255488
yi dong 	易懂	c=1 d=0 t=255488
yi dong 	移動	c=30 d=4.19166e-07 t=255488
yi duan 	一段	c=13 d=3.65659e-18 t=255488
yi dui 	一堆	c=3 d=2.46415e-198 t=255488
yi dun 	一噸	c=3 d=3.89011e-150 t=255488
yi dun 	一頓	c=2 d=1.39246e-277 t=255488
yi er zai 	一而再	c=1 d=2.13141e-256 t=255488
yi fa 	已發	c=1 d=5.17379e-13 t=255488
yi fa song 	已發送	c=1 d=1.92371e-50 t=255488
yi fang 	一方	c=3 d=0.00927901 t=255488
yi fei 	一飛	c=11 d=6.25522e-270 t=255488
yi fen 	一份	c=11 d=9.26149e-08 t=255488
yi fen 	一分	c=14 d=2.37848 t=255488
yi fen zhang 	已分賬	c=2 d=2.13071e-271 t=255488
yi fen zhong 	一分鐘	c=3 d=0.045502 t=255488
yi feng 	一封	c=1 d=5.24289e-22 t=255488
yi fu 	一副	c=1 d=1.28632e-256 t=255488
yi fu 	已付	c=2 d=3.62529e-203 t=255488
yi fu 	衣服	c=29 d=0.0640014 t=255488
yi fu xie zi 	衣服鞋子	c=1 d=2.23812e-321 t=255488
yi ge 	一個	c=433 d=1.74909 t=255488
yi ge bao 	一個包	c=1 d=0 t=255488
yi ge ge 	一個個	c=1 d=9.1992e-19 t=255488
yi ge jia 	一個價	c=1 d=4.122e-192 t=255488
yi ge jian dan 	一個煎蛋	c=1 d=3.03286e-288 t=255488
yi ge ren 	一個人	c=10 d=5.72358e-54 t=255488
yi ge ren qu 	一個人去	c=1 d=1.34548e-285 t=255488
yi ge xie 	一個鞋	c=1 d=8.0083e-35 t=255488
yi ge yue 	一個月	c=6 d=0.0238732 t=255488
yi gen 	一根	c=3 d=0.650509 t=255488
yi guan 	易觀	c=2 d=0 t=255488
yi gui 	衣櫃	c=12 d=5.80313e-32 t=255488
yi guo 	已過	c=0 d=2.47277e-05 t=255488
yi guo le 	已過了	c=1 d=0.000248517 t=255488
yi hang 	一行	c=8 d=4.05796e-08 t=255488
yi hang le 	一行了	c=1 d=0 t=255488
yi hao 	一號	c=1 d=3.67242e-10 t=255488
yi hao xian 	一號線	c=2 d=1.32969e-205 t=255488
yi he 	一盒	c=1 d=1.60084e-300 t=255488
yi hou 	以後	c=71 d=0.995012 t=255488
yi hou de 	以後的	c=1 d=0 t=255488
yi hu 	一壺	c=1 d=0 t=255488
yi hui 	一會	c=135 d=0.287941 t=255488
yi hui er 	一會兒	c=1 d=5.88367e-55 t=255488
yi hui kan 	一會看	c=1 d=7.63745e-36 t=255488
yi hun 	已婚	c=1 d=1.7567e-11 t=255488
yi ji 	一級	c=19 d=0.116786 t=255488
yi ji 	以及	c=9 d=1.52399e-45 t=255488
yi jia 	一家	c=14 d=0.00448065 t=255488
yi jia jing shui 	一家淨水	c=7 d=5.3866e-46 t=255488
yi jia jing shui 	億家淨水	c=4 d=6.04122e-13 t=255488
yi jia ren 	一家人	c=1 d=1.31911e-258 t=255488
yi jian 	一件	c=2 d=2.5327e-21 t=255488
yi jian 	一鍵	c=3 d=1.44716e-185 t=255488
yi jian 	意見	c=12 d=0.00111936 t=255488
yi jian ma 	意見嗎	c=1 d=0 t=255488
yi jiao 	一跤	c=1 d=3.32351e-12 t=255488
yi jie shu 	已結束	c=4 d=7.68272e-321 t=255488
yi jin 	一斤	c=2 d=1.54578e-300 t=255488
yi jin men 	已進門	c=1 d=0 t=255488
yi jing 	已經	c=115 d=0.172942 t=255488
yi jing guo le 	已經過了	c=1 d=0 t=255488
yi jing shi 	已經是	c=1 d=3.14417e-124 t=255488
yi ju 	一句	c=1 d=1.5457e-35 t=255488
yi ju 	一居	c=4 d=3.77026e-22 t=255488
yi ka tong 	一卡通	c=1 d=4.48231e-31 t=255488
yi kai 	一開	c=1 d=3.00356e-27 t=255488
yi kai 	已開	c=1 d=2.70935e-167 t=255488
yi kai shi 	一開始	c=7 d=4.77276e-05 t=255488
yi kan 	一看	c=2 d=0.0385808 t=255488
yi kou 	一口	c=6 d=2.23738e-25 t=255488
yi kou xiang 	一口像	c=1 d=1.10743e-24 t=255488
yi kou xiang 	一口香	c=1 d=1.14116e-24 t=255488
